Company Name,First Name,Last Name,Phone,Mobile Phone,Email,Website,Address,City,State,Zip
New York Carpet Cleaning Inc.,,,10156755640,,ron@newyorkcarpetcleaning.com,https://www.newyorkcarpetcleaning.com/,514 25th St,Union City,NJ,7087
Rug Cleaning East Village,,,16468462944,,xamigo.1337x@gmail.com,http://www.east-village-green-clean.com/,172 1st Avenue,New York,NY,10009
New York City Carpet Cleaners,,,12127347400,,cs@new-york-city-carpet-cleaners.com,http://www.new-york-city-carpet-cleaners.com/,698 10th Ave,New York,NY,10019
revitaRUGS,,,12122211867,,pardisz@revitarugs.com,http://revitarugs.com/,63 Wall St suite 1512,New York,NY,10005
Elite Rug Cleaners,,,18887678288,,info@eliterugcleaners.com,https://www.eliterugcleaners.com/,88 Whitehall St,New York,NY,10004
Carpet Cleaner New York,,,16467050032,,info@carpetcleanernewyork.com,https://www.carpetcleanernewyork.com/,487 Fulton St,Brooklyn,NY,11201
Megerian Carpet Cleaners,,,12126847188,,info@megerianrugs.com,http://www.megerianrugcleaners.com/,3 W 30th St 4 Floor,New York,NY,10001
Sullivan Rug & Carpet Cleaning 10012,,,16465582525,,info@rugwash.com,http://drycleaningrugs.com/sullivan-rug-carpet-cleaning-10012,150 Sullivan St,New York,NY,10012
Cleaner Steamer,,,12123481258,,cs@cleaner-steamer.com,https://www.cleaner-steamer.com/,400 Lafayette St,New York,NY,10003
Julias Cleaners: NYC Rug Cleaning and Restoration Services 10017,,,16465582524,,greemchoicecarpet@gmail.com,http://www.greenchoicecarpet.net/,320 E 49th St,New York,NY,10017
Delmont Carpet Cleaning Inc.,,,12125137500,,delmontny@gmail.com,http://www.delmontcleanny.com/,1636 3rd Ave PMB 167,New York,NY,10128
Union Square Carpet Cleaners,,,13477660534,,koreilly@shonamechanical.com,http://shonamechanical.com/,41 Union Square W,New York,NY,10003
Carpet Cleaning Group NYC,,,19179241117,,carpetcleaninggroupnyc@gmail.com,http://carpetcleaninggroupnyc.com/,160 W 66th St,New York,NY,10023
Always Green Carpet Cleaner,,,13473445807,,info@alwaysgreencarpetcleaner.com,https://www.alwaysgreencarpetcleaner-manhattan-local.com/,1185 6th Ave,New York,NY,10036
Mint Carpet Cleaning,,,18009069135,,harold@usacleanmaster.com,https://www.usacleanmaster.com/carpetcleaning/newyork/,288 Columbus Ave,New York,NY,10023
Or Steam NYC,,,12124190075,,info@expertcarpetandupholsteryclean.com,http://www.expertcarpetandupholsteryclean.com/,101 6th Ave 9th fl,New York,NY,10013
Carpet Care New York,,,16467945667,,rugcleanersnyc@gmail.com,http://rugcleanersnyc.net/,220 E 29th St,New York,NY,10016
NYCleaners,,,12124702593,,info@cleaning-services-nyc.com,http://www.cleaning-services-nyc.com/,215 W 101st St,New York,NY,10025
NY STEAMERS,,,12127158775,,info@nysteamers.com,https://nysteamers.com/,888 8th Ave #3n,New York,NY,10019
Rug & Carpet Cleaning Companies NYC,,,16466991952,,info@greencarpetcleanup.com,http://greencarpetcleanup.com/,312 E 30th St suite 1034B,New York,NY,10016
Oriental Area Rug Cleaning,,,17186142697,,service@orientalarearugcleaning.com,https://orientalarearugcleaning.com/,166 E 34th St,New York,NY,10016
Rug Renovating,,,14784770660,,info@rugrenovating.com,https://rugrenovating.com/locations-nyc/,137 W 25th St 12th Floor,#A,NY,10001
Carpet Cleaning Beekman Place NY,,,16465828914,,info@nycmaidservice.net,http://www.nycmaidservice.net/,829 3rd Ave #12,New York,NY,10022
Fantastic Carpet Cleaning NYC,,,16466611147,,fantasticcleaningny@gmail.com,https://www.fantasticcarpetcleaningnyc.com/,1642 Weirfield St,Ridgewood,NY,11385
All Boro Carpet Cleaning,,,12122555525,,info@allborocarpetcleaning.com,http://allborocarpet.com/,315 7th Ave #17E,New York,NY,10001
LL Carpet Cleaning Services LLC.,,,16467132156,,mrgreencarpetcare@gmail.com,https://www.mrgreencarpetcare.com/,331 E 23rd St,New York,NY,10010
Always Green Carpet Cleaner,,,17187703080,,info@alwaysgreencarpetcleaner.com,https://www.alwaysgreencarpetcleaner.com/,229 94th St,Brooklyn,NY,11209
SERVPRO,,,12127689400,,servpro8216@gmail.com,https://www.servpromidtownmanhattan.com/,50 E 28th St,New York,NY,10016
Spring St Cleaning,,,16465533365,,vbvbvbv555@gmail.com,http://www.spring-st-cleaning.com/,200 Spring St,New York,NY,10012
Brooklyn Area Rug Cleaning,,,17185761641,,brooklynarearugcleaning@gmail.com,http://www.brooklynarearugcleaning.com/,504 Court St,Brooklyn,NY,11231
Upholstery Cleaning Service,,,15551290660,,online@couchcleaning.nyc,https://couchcleaning.nyc/,309 W 47th St apartment 4,RE,NY,10019
Carpet Culture,,,11221923153,,orders@carpet-culture.com,https://www.carpet-culture.com/,392 Broome St,New York,NY,10013
Kosker Traditional Rug Repair,,,12123003348,,info@traditionalrugrepair.com,https://www.traditionalrugrepair.com/,353 W 48th St,New York,NY,10036
SpotlessNYC: Carpet & Upholstery Cleaning,,,12124613224,,service@spotlessnyc.com,https://spotlessnyc.com/,57 W 57th St,New York,NY,10019
ID Cleaners & Carpeting Inc.,,,12129517194,,olee@idcleaners.com,http://www.idcleaners.com/,167 Madison Ave,New York,NY,10016
Stanley Steemer,,,17183025154,,jeff.trisciani@steemer.com,https://www.stanleysteemer.com/location-details/NY/New-York-City/619,439 20th St,Brooklyn,NY,11215
Majestic Rug Cleaning,,,17185427474,,info@majesticrugclean.com,https://www.majesticrugclean.com/,37-11 48th Ave,Queens,NY,10474
Long Island Carpet Cleaners,,,18370000660,,info@licarpetcleaners.com,http://licarpetcleaners.com/,71-02 80th St,Glendale,NY,11385
CARPET CLEANING SERVICE BROOKLYN,,,19294450151,,allamericanwindowcleaning@aol.com,http://www.allamericanwindowguttercleaning.com/,80 Livingston St unit 6,Brooklyn,NY,11201
Specialty Design,,,13479708694,,anneli@opt-optimistic.com,https://maidsailors.com/,150 Charles St #265,New York,NY,10014
Flat Rate Carpet,,,18781000660,,cs@flatratecarpet.com,https://www.flatratecarpet.com/,777 Meeker Ave,Brooklyn,NY,11222
J.L. Carpet and Upholstery,,,17188337847,,jlcarpetservices@gmail.com,http://www.jlcarpetandupholstery.com/,20 Grand Ave Suite 401,Brooklyn,NY,11228
Sears Carpet Cleaning & Air Duct Cleaning,,,17183558544,,gregh@searsclean.com,https://www.searsclean.com/brooklyn-ny,4502 3rd Ave,Brooklyn,NY,11220
Healthy Clean Inc,,,12123626863,,greg@healthycleannewyork.com,http://healthycleannewyork.com/,39 Linden St,Brooklyn,NY,11221
A and B Carpet NY,,,18006590691,,info@aandbcarpetny.com,http://www.aandbcarpetny.com/,932 Ditmas Ave,Brooklyn,NY,11218
On Time Steam Cleaning,,,18885122055,,ontime2@optonline.net,https://ontimesteamcleaning.com/,2379 McDonald Ave #4738,Brooklyn,NY,11223
Near Me Carpet Cleaning,,,18009861533,,nearmecarpetcleaning@gmail.com,https://nearmecarpetcleaning.com/,2430 Ralph Ave,Brooklyn,NY,11234
Costikyan,,,18002477847,,installationquotes@costikyan.com,http://www.costikyan.com/,37-11 48th Ave Suite 1,Queens,NY,11101
Always Green Carpet Cleaner,,,13478979939,,info@alwaysgreencarpetcleaner.com,https://www.alwaysgreencarpetcleaner.nyc/,73-25 69th Pl,Queens,NY,11385
Metropolitan Carpet Cleaning,,,17185427272,,jeffmajestic@gmail.com,http://www.majesticrugcleaningnewyork.com/,644 Whittier St,The Bronx,NY,10474
ari cleaning,,,17183367500,,arismoldremoval@gmail.com,https://ariscleaningservice.com/,1626 E 36th St,Brooklyn,NY,11229
Steamaster Carpet Cleaning,,,17187467777,,info@steamaster.net,http://www.steamaster.net/,722 149th St,Whitestone,NY,11357
Accurate Carpet Cleaning & Maintenance Inc,,,17188769520,,accuratecarpetcleaning@yahoo.com,http://accuratecarpetcleaning.net/,37 Potter Ave,Staten Island,NY,10314
All Pro Carpet Cleaning Inc,,,15162084579,,billdawes59@yahoo.com,http://www.carpetandupholsterycleaningnassau.com/,14 Vanderventer Avenue Suite L7B,Port Washington,NY,11030
HEAVENSBEST CARPET & UPHOLSTERY CLEANING,,,16469697899,,heavensbest.jones@gmail.com,https://www.heavensbest.com/,27 Rankin St,Staten Island,NY,10312
Couch Cleaning Service,,,15162001093,,cs@i-steamers.com,https://i-steamers.com/,346 W 53rd St apt 2 R,New York,NY,10019
Majik Cleaning Services Inc.,,,12125457830,,majik.svc@gmail.com,https://www.majikservices.com/,299 Broadway # 1610,New York,NY,10007
Carpet Cleaning NY,,,17182890892,,info@ravelloscleaning.com,http://www.ravelloscleaning.com/,542 E 8th St,Brooklyn,NY,11218
Snap Cleaning,,,16465323748,,contact@snapcleaning.com,https://cleaning.snaplifestyles.com/,347 W 36th St. #502,New York,NY,10018
SAME DAY Carpet cleaning Bronx,,,16052319281,,patti@coitpittsburgh.com,http://coit.com/,948 Hoe Ave #3a,The Bronx,NY,10459
Sparrow Carpet Cleaning Corp,,,16300830660,,celsoportilho@aol.com,https://sparrowcarpetcleaning.co/,4 Franklin Ave,Mt Vernon,NY,10550
All Clean Carpet and Fiber-Shield,,,15166210524,,susan@allcleancarpetinc.com,http://www.allcleancarpetinc.com/,90A Union St,Mineola,NY,11501
Rainbow Restoration of Ozone Park,,,19293355300,,conway@rainbowintl.com,https://rainbowintl.com/ozone-park/,106-08 101st Ave,Queens,NY,11416
Megerian Rug Gallery,,,12126847188,,info@megerianrugs.com,http://www.megerianrugs.com/,3 W 30th St 4th floor,New York,NY,10001
Busy Bee Cleaning Service,,,12129212364,,busybee@bbcleaningservice.com,https://www.bbcleaningservice.com/,247 W 35th St #9R,New York,NY,10010
Best Cleaners,,,12126885354,,liz@bestcleanersny.com,https://www.bestcleanersny.com/,172 E 61st St #1,New York,NY,10065
Classic Cleaners,,,12127726675,,info@classiccleaners.com,https://classiccleaners.com/,1213 3rd Ave,New York,NY,10021
SERVPRO of Ozone Park/Jamaica Bay,,,13472332305,,servpro10156@gmail.com,https://www.servproozoneparkjamaicabay.com/,87-17 97th Ave,Queens,NY,11416
SERVPRO Of South Bronx,,,13475909902,,office@servprosouthbronx.com,http://www.servprosouthbronx.com/,191 Willow Ave,The Bronx,NY,10455
Bowerman Cleaning and Restoration,,,18442693762,,michael@bowerman.us.co,https://bowermanrestoration.com/,7 Intervale St,White Plains,NY,10523
No. 1 Cleaners,,,19738660105,,marc812@gmail.com,http://www.no1cleaners.com/,52 E Centre St #6,Nutley,NJ,7110
Hudson Rug Cleaning,,,18455611515,,jeff@hudsonrugcleaning.com,http://www.hudsonrugcleaning.com/,7 Haight Dr,New Windsor,NY,12553
ChutePlus,,,13476711083,,ben@chuteplus.com,http://www.chuteplus.com/,426 Rockaway Ave,Valley Stream,NY,11581
Coverall of Northern New Jersey,,,12015590478,,jon.pinsky@coverall.com,https://www.coverall.com/locations/nj/northern-new-jersey-support-center,1050 Wall St W Suite 220,Lyndhurst,NJ,7071
Aramsco,,,17183617540,,restorationrentals@aramsco.com,http://www.aramsco.com/,18-19 Flushing Ave,Queens,NY,11385
Nazmiyal Antique Rugs,,,12125458029,,hichem@nazmiyal.com,https://nazmiyalantiquerugs.com/,31 E 32nd St Floor #2,New York,NY,10016
JAN-PRO Cleaning & Disinfecting in Northern New Jersey,,,19732761766,,jason.embro@jan-pro.com,https://jan-pro.com/northernnewjersey,142 Fairfield Rd,Fairfield,NJ,7004
Kirby Co,,,13323314822,,lakecountykirby@gmail.com,https://www.kirby.com/,220 US-46,Little Ferry,NJ,7643
Best Cleaners,,,17184052378,,delivery@bestcleaners.com,https://www.bestcleaners.com/,2515 Boston Rd,The Bronx,NY,10467
Rainbow Cleaner,,,19736610803,,b49miller@yahoo.com,https://rainbowsystem.com/,196 High St,Nutley,NJ,7110
PristineGreen Upholstery and Carpet Cleaning,,,13478716530,,info@pristinegreencleaning.com,https://pristinegreencleaning.com/,115 E 23rd St 3rd floor,New York,NY,10010
Chelsea Carpet & Rug Cleaning,,,16468591496,,sandra.is.freitas@gmail.com,http://www.chelsea-carpet-cleaning.com/,279 8th Ave,New York,NY,10011
